"electorate","province_code","candidate_code","ballot_position","candidate_name_eng","candidate_name_dari","incumbent","candidate_gender","prelim_winner","final_winner"
"General","01","5765387","1","Eng. Muhammad Afzal Ahmadzai","انجنیر محمد افضل احمدزی","No","Male","No","No"
"General","01","3664613","2","Babrak Shirzad","ببرک شیرزاد","No","Male","No","No"
"General","01","5765385","3","Eng. Nimatullah","انجنیر نعمت اله","No","Male","No","No"
"General","01","6053758","4","Dr. Muhammad Akram Khpalwak","داکتر محمد اکرم خپلواک","No","Male","No","No"
"General","01","5765439","5","Shaima Sekandari","شیما  سکندری","No","Female","No","No"
"General","01","860346","6","Hajji Shah Agha Sakhizada","حاجی شاه آغا سخیزا ده","No","Male","No","No"
"General","01","7889725","7","Muhammad Hamayoon Faiz Zad","محمد همايون فيض زاد","No","Male","No","No"
"General","01","972412","8","Mir Ahmad Joyenda","میر احمد جوینده","Yes","Male","No","No"
"General","01","702521","9","Khalida Alokozai","خالده الکوزی","No","Female","No","No"
"General","01","3901177","10","Saranwal Moh. Nabi Mastoor","څارنوال محمد نبی مستور","No","Male","No","No"
"General","01","5765358","11","Eng. Zia Ahmad Noori","انجینر ضیا احمد نوری","No","Male","No","No"
"General","01","3466638","12","Dawood Maliar Muhai‐ud‐Din","داود ملیار محی الدین","No","Male","No","No"
"General","01","5167932","13","Muhammad Ibrahim Qasemi","محمد  ابراهیم قاسمی","Yes","Male","Yes","Yes"
"General","01","3881865","14","Muhammad Faridoon Qeyami","محمد فریدون قیامی","No","Male","No","No"
"General","01","987309","15","Suhaila Ansari","سهیلا انصاری","No","Female","No","No"
"General","01","11387722","16","Allhaj Ustad Moh. Shoaib Niazi","الحاج استاد محمد شعیب نیازی","No","Male","No","No"
"General","01","990359","17","Noor Ahmad Chardhiwal","نور احمد چهاردهی وال","No","Male","No","No"
"General","01","6859861","18","Muhammad Saboor Furmuli","محمد صبور فرملی","No","Male","No","No"
"General","01","4646087","19","Eng. Muhammad Alam Khisrawi","انجنیر محمد علم خسروی","No","Male","No","No"
"General","01","5765422","20","Nadia Rasooli","نادیه  رسولی","No","Female","No","No"
