candidate_id,candidate_name_eng,ballot_position,candidate_gender,incumbent,prelim_winner,final_winner,electorate
11205206,Mirwais Noor Ahmadzai,1,Male,NA,NA,NA,Kuchi
920444,Hajji Khawani Alokozai,2,Male,NA,NA,NA,Kuchi
10505083,Hajji Raza Khan,3,Male,NA,NA,NA,Kuchi
7889776,Hajji Daftani,4,Male,NA,NA,NA,Kuchi
8949303,Qari Muhammad Masum,5,Male,NA,NA,NA,Kuchi
9166534,Hajji Alam Gull Kuchi,6,Male,NA,NA,NA,Kuchi
5260088,Nazifa Ahmadzai,7,Female,NA,NA,NA,Kuchi
9629401,Jamal -u- din,8,Male,NA,NA,NA,Kuchi
3064413,Said Akbar Kochi,9,Male,NA,NA,NA,Kuchi
5794920,Muhammad Dawar Tukhi,10,Male,NA,NA,NA,Kuchi
3207688,Wala Jan Nasir,11,Male,NA,NA,NA,Kuchi
6890723,Alauddin Hutak,12,Male,NA,NA,NA,Kuchi
8723841,Muhammad Yusuf Sabir,13,Male,NA,NA,NA,Kuchi
3466661,Dawoud Shah Niazai,14,Male,NA,NA,NA,Kuchi
3466901,Hamida Ahmadzai,15,Female,NA,NA,NA,Kuchi
4818614,Turan Dilawar Kahn Kuchi,16,Male,NA,NA,NA,Kuchi
3466625,Habib -u- Rahman A.K.A Habib Afghan,17,Male,NA,NA,NA,Kuchi
5169823,Hajji Abdul Zahir Abid,18,Male,NA,NA,NA,Kuchi
6413088,Parween Momand Talwasa,19,Female,NA,NA,NA,Kuchi
4025652,Hajji Jan Muhammad,20,Male,NA,NA,NA,Kuchi
2852034,Kumari Niazai,21,Female,NA,NA,NA,Kuchi
7824679,Ustad Khapalwak Lakan Khil,22,Male,NA,NA,NA,Kuchi
997752,Parween Durani,23,Female,NA,NA,NA,Kuchi
102317654,Muhammad Rasol Kuchi,24,Male,NA,NA,NA,Kuchi
3664603,Hajji Ashraf Niazai,25,Male,NA,NA,NA,Kuchi
529737,Said Muhammad Hareq,26,Male,NA,NA,NA,Kuchi
8913420,Ezatullah Ahmadzai,27,Male,NA,NA,NA,Kuchi
5765426,Helay Irshad,28,Male,NA,NA,NA,Kuchi
13285032,Alhaj Muhsin Sahraye,29,Male,NA,NA,NA,Kuchi
7732204,Abdul Rahman Mamozai,30,Male,NA,NA,NA,Kuchi
100267684,Tajwar Kakar,31,Female,NA,NA,NA,Kuchi
81159975,Noorudin Kochi,32,Male,NA,NA,NA,Kuchi
3955932,Raies Farida Kuchi,33,Female,NA,NA,NA,Kuchi
6984703,Fazal Ahmad,34,Male,NA,NA,NA,Kuchi
8197811,Bibi Sakina Jabarkhil,35,Female,NA,NA,NA,Kuchi
4059717,Hajji Sarfaraz,36,Male,NA,NA,NA,Kuchi
5765410,Zarghuna Ahmadzai,37,Female,NA,NA,NA,Kuchi
102546679,Hajji Abdul Qadar Kuchi,38,Male,NA,NA,NA,Kuchi
6208234,Alhaj Wakil Mullah Tarakhil Muhammadi,39,Male,NA,NA,NA,Kuchi
5768615,Dawa Khan Mina Pal,40,Male,NA,NA,NA,Kuchi
3466605,Zarab Shah Zahir,41,Male,NA,NA,NA,Kuchi
3867451,Wakil Muhammad Ashraf Ahmadzai,42,Male,NA,NA,NA,Kuchi
3466682,Hajji Saifullah,43,Male,NA,NA,NA,Kuchi
6495736,Alhaj Maulawi Rahmatullah Hutak,44,Male,NA,NA,NA,Kuchi
6168130,Hajji Muhammad Nazir Ahmadzai,45,Male,NA,NA,NA,Kuchi
100568297,Hajji Pari Kuchi,46,Male,NA,NA,NA,Kuchi
14257252,Abdul Ghafar Ahmadzai,47,Male,NA,NA,NA,Kuchi
11297556,Hajji Haidar Jan Naiemzai,48,Male,NA,NA,NA,Kuchi
5765347,Hajji Sher Ali Ahmadzai,49,Male,NA,NA,NA,Kuchi
6505781,Azad Khan Kuchi,50,Male,NA,NA,NA,Kuchi
7519361,Hajji Muhammad Arif Noorzai,51,Male,NA,NA,NA,Kuchi
8913427,Bahram Khan,52,Male,NA,NA,NA,Kuchi
