PC,PS,Type_Of_Station,Candidate,Vote,Total_Invalid_Votes,DistrictID,District_EnglishName,Province_EnglishName,ProvinceId,Invalidated,Gender,PoliticalPartyId,VoterID,CandidateID
1914302,1,M,44,11,7,286,KOSHENDAH,Balkh,19,FALSE,M,1,6598180,6598180
1907112,3,F,59,1,4,279,SHORTAPA,Balkh,19,FALSE,F,1,4059722,4059722
1907117,2,F,72,0,27,279,SHORTAPA,Balkh,19,FALSE,M,1,4059728,4059728
1914293,1,M,50,0,0,286,KOSHENDAH,Balkh,19,FALSE,M,1,4059701,4059701
1907111,2,M,48,0,10,279,SHORTAPA,Balkh,19,FALSE,M,1,4059729,4059729
1907114,2,M,39,1,9,279,SHORTAPA,Balkh,19,FALSE,F,31,4059702,4059702
1914287,2,M,8,5,18,286,KOSHENDAH,Balkh,19,FALSE,F,1,4356450,4356450
1914290,2,M,63,0,17,286,KOSHENDAH,Balkh,19,FALSE,M,1,5674315,5674315
1914290,1,M,44,0,17,286,KOSHENDAH,Balkh,19,FALSE,M,1,6598180,6598180
1907109,3,F,78,3,19,279,SHORTAPA,Balkh,19,FALSE,M,1,4119178,4119178
1907117,2,F,41,0,27,279,SHORTAPA,Balkh,19,FALSE,M,1,7167605,7167605
1907115,2,M,45,0,1,279,SHORTAPA,Balkh,19,FALSE,M,1,4059712,4059712
1901033,3,M,55,1,2,273,PROVINCIAL CENTER (MAZAR SHARIF),Balkh,19,FALSE,M,1,9746112,9746112
1902051,1,M,46,227,5,274,DEHDADI,Balkh,19,FALSE,M,60,1813162,1813162
1907110,3,F,6,0,0,279,SHORTAPA,Balkh,19,FALSE,M,1,4059706,4059706
1902054,2,F,81,0,8,274,DEHDADI,Balkh,19,FALSE,M,1,13351001,13351001
1902056,1,M,17,5,9,274,DEHDADI,Balkh,19,FALSE,M,1,4059704,4059704
1901023,5,F,23,0,16,273,PROVINCIAL CENTER (MAZAR SHARIF),Balkh,19,FALSE,M,1,2141357,2141357
1901047,3,F,20,0,26,273,PROVINCIAL CENTER (MAZAR SHARIF),Balkh,19,FALSE,M,2,236522,236522
1902062,4,F,23,0,12,274,DEHDADI,Balkh,19,FALSE,M,1,2141357,2141357
1901014,4,M,14,1,7,273,PROVINCIAL CENTER (MAZAR SHARIF),Balkh,19,FALSE,M,1,4059710,4059710
1901013,1,M,20,2,8,273,PROVINCIAL CENTER (MAZAR SHARIF),Balkh,19,FALSE,M,2,236522,236522
1901031,4,M,69,5,3,273,PROVINCIAL CENTER (MAZAR SHARIF),Balkh,19,FALSE,M,1,12668564,12668564
1901028,2,M,11,0,15,273,PROVINCIAL CENTER (MAZAR SHARIF),Balkh,19,FALSE,M,2,9797970,9797970
1901043,2,M,40,1,10,273,PROVINCIAL CENTER (MAZAR SHARIF),Balkh,19,FALSE,M,1,3517893,3517893
1901034,5,F,34,2,6,273,PROVINCIAL CENTER (MAZAR SHARIF),Balkh,19,FALSE,F,1,4059719,4059719
1901019,3,F,23,0,11,273,PROVINCIAL CENTER (MAZAR SHARIF),Balkh,19,FALSE,M,1,2141357,2141357
