"province_code","province_name","province_votes","candidate_code","serial_number","ballot_position","candidate_name","candidate_votes","vote_share","candidate_rank","results_date","results_status"
"02","Kapisa",38641,"2-1249-103",34,34,"Mirdaad Khan Nejrabi",5849,0.151367718226754,1,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1685-42",21,21,"Eng. Mir Haidar Afzali",5370,0.138971558707073,2,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-201-1142-13",15,15,"Gen. Mohammad Iqbal Safi",5355,0.138583369995601,3,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1397-22",2,2,"Abdul Zaher Hakimzadah",2325,0.0601692502782019,4,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1545-48",4,4,"Shukrullah Mohammadi",1591,0.0411738826634921,5,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1250-33",26,26,"Shejauddin Murad",1434,0.037110840816749,6,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1274-34",33,33,"Khadija Elham Khalili",1378,0.0356616029605859,7,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1269-86",23,23,"Mawlana Abdul Maroof Waaseq",1279,0.0330995574648689,8,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1437-37",31,31,"Abdul Hakim = Khwaja Padshah",1124,0.0290882741129888,9,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1541-25",5,5,"Saara Sirat",1085,0.0280789834631609,10,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1637-62",28,28,"Mohammad Shafiq Alawi",970,0.0251028700085402,11,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1161-81",17,17,"Mohammad Nader Khalid",900,0.0232913226883362,12,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1162-113",32,32,"Khalida Hakimi",879,0.022747858492275,13,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1318-109",14,14,"Qazi Ahmadi Ahmadi",769,0.0199011412748117,14,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1305-123",9,9,"Alhaj Mohammad Masoom Khan Hashemi",711,0.0184001449237856,15,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1186-115",1,1,"Mohammad Faazel Safi",702,0.0181672316969023,16,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1009-68",18,18,"Abdul Wakil Jalili",679,0.0175720090059781,17,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1141-10",19,19,"Nazar Mohammad Mohammadi",663,0.0171579410470744,18,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1390-73",10,10,"Qazi Abdul Razaaq Nejrabi",651,0.0168473900778965,19,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1225-4",3,3,"Mohammad Rafi Safi",613,0.0158639786755001,20,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1461-40",16,16,"Rahima Shams Kohistani",558,0.0144406200667685,21,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1297-4",8,8,"Qari Omid Safi",483,0.0124996765094071,22,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1593-87",35,35,"Fazel Hadi Ahmadi",418,0.0108175254263606,23,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1273-83",24,24,"Dr. Mohammad Nayem Safi",416,0.0107657669314976,24,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1210-85",22,22,"Talib Jaan Safi",401,0.0103775782200254,25,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1174-110",6,6,"Tahera Mirzadah",326,0.00843663466266401,26,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1149-59",13,13,"Gull Ahmad Safi",283,0.00732382702311017,27,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1553-92",12,12,"Rohullah Safi",269,0.00696151755906938,28,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1389-35",29,29,"Dr. Humma Shamim",267,0.00690975906420641,29,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1290-26",25,25,"Akhondzadah Abdul Salam Jawad",250,0.00646981185787117,30,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1505-119",7,7,"Razia Saadat Habibi",191,0.00494293625941358,31,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1081-112",20,20,"Nooria Kohistani",186,0.00481354002225615,32,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1133-3",27,27,"Najibullah Rahimi Safi",151,0.00390776636215419,33,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1265-90",30,30,"Aaqel Khan Tagabi",101,0.00261380399057995,34,2019-01-24,"Results Status : Certified"
"02","Kapisa",38641,"2-1266-54",11,11,"Haji Aqa Jaan Sayedi",14,0.000362309464040786,35,2019-01-24,"Results Status : Certified"
"03","Parwan",86028,"3-1593-34",16,16,"Abdul Aziz - Humayoun Harirod",14690,0.17075835774399,1,2019-01-20,"Results Status : Certified"
"03","Parwan",86028,"3-1093-1",12,12,"Alhaj Mir Rahman Rahmani",10693,0.124296740596085,2,2019-01-20,"Results Status : Certified"
"03","Parwan",86028,"3-1541-2",1,1,"Sediq Ahmad Osmani",9961,0.115787883014832,3,2019-01-20,"Results Status : Certified"
"03","Parwan",86028,"3-1441-18",17,17,"Alhaj Abdul Zaher Salangi",9329,0.108441437671456,4,2019-01-20,"Results Status : Certified"
