"province_code","province_name","province_votes","candidate_code","serial_number","ballot_position","candidate_name_eng","candidate_name_dari","candidate_name_pashto","iec_vote_total","vote_share","candidate_rank","results_date","results_status","calculated_vote_total","error"
"01","Kabul",570353,"1-1186-37",383,384,"Haji Ajmal Rahmani","حاجی اجمل رحمانی","حاجی اجمل رحمانی",11158,0.0195633230648388,1,"2019-05-15","Results Status : Certified",7552,"ERROR"
"01","Kabul",570353,"1-1442-4",152,152,"Alhaj Abdul Qayoum Khairkhwah","الحاج عبدالقیوم خیرخواه","الحاج عبدالقیوم خیرخواه",8748,0.0153378697052527,2,"2019-05-15","Results Status : Certified",6133,"ERROR"
"01","Kabul",570353,"1-1162-88",527,528,"Khan Agha Rezayee","خان آغا رضائی","خان آغا رضائی",7850,0.0137634061712659,3,"2019-05-15","Results Status : Certified",6231,"ERROR"
"01","Kabul",570353,"1-1283-128",217,217,"Alhaj Mulla Mohammad Khan Ahmadi","الحاج ملامحمد خان احمدی","الحاج ملامحمد خان احمدی",6727,0.0117944501037077,4,"2019-05-15","Results Status : Certified",5770,"ERROR"
"01","Kabul",570353,"1-1389-68",297,297,"Feda Mohammad Ulfat Saleh","فدا محمد الفت صالح","فدا محمد الفت صالح",6690,0.0117295779981871,5,"2019-05-15","Results Status : Certified",4671,"ERROR"
"01","Kabul",570353,"1-1537-14",34,34,"Ahmad Jawid Jaihon","احمد جاوید جیحون","احمد جاوید جیحون",6213,0.0108932538270159,6,"2019-05-15","Results Status : Certified",4179,"ERROR"
"01","Kabul",570353,"1-1164-56",468,469,"Mir Amanullah Guzar","میر امان الله گذر ","میر امان الله گذر ",6095,0.0106863644094096,7,"2019-05-15","Results Status : Certified",3932,"ERROR"
"01","Kabul",570353,"1-1188-22",45,45,"Alhaj Amirgull Shahin","الحاج امیرگل شاهین ","الحاج امیرگل شاهین ",6061,0.0106267522043366,8,"2019-05-15","Results Status : Certified",4418,"ERROR"
"01","Kabul",570353,"1-1479-47",2,2,"Ghullam Hussain Naseri","غلام حسین ناصری","غلام حسین ناصری",6024,0.010561880098816,9,"2019-05-15","Results Status : Certified",4248,"ERROR"
"01","Kabul",570353,"1-1305-89",787,788,"Dr. Ramazan Bashardost","داکتر رمضان بشردوست","داکتر رمضان بشردوست",5983,0.0104899947926986,10,"2019-05-15","Results Status : Certified",4238,"ERROR"
"01","Kabul",570353,"1-1704-56",79,79,"Alhaj sayed Mohammad Mohammadi","الحاج سید محمد محمدی","الحاج سید محمد محمدی",5339,0.00936086949660999,11,"2019-05-15","Results Status : Certified",3694,"ERROR"
"01","Kabul",570353,"1-1521-25",748,749,"Alhaj Allah Gull Mujahid","الحاج الله گل مجاهد","الحاج الله گل مجاهد",5198,0.00911365417557197,12,"2019-05-15","Results Status : Certified",3559,"ERROR"
"01","Kabul",570353,"1-1185-51",431,432,"Haji Khan Mohammad Wardak","حاجی خان محمد وردگ","حاجی خان محمد وردگ",5128,0.00899092316512756,13,"2019-05-15","Results Status : Certified",3635,"ERROR"
"01","Kabul",570353,"1-1265-55",429,430,"Alhaj Qazi Mir Afghan Safi","الحاج قاضی میرافغان صافی ","الحاج قاضی میرافغان صافی ",4628,0.00811427309052464,14,"2019-05-15","Results Status : Certified",3458,"ERROR"
"01","Kabul",570353,"1-1023-75",89,89,"Najibullah Naser","نجیب الله ناصر","نجیب الله ناصر",4401,0.00771627395665491,15,"2019-05-15","Results Status : Certified",3356,"ERROR"
"01","Kabul",570353,"1-1297-60",528,529,"Habib Rahman Sayaf","حبیب الرحمن سیاف","حبیب الرحمن سیاف",4014,0.00703774679891225,16,"2019-05-15","Results Status : Certified",2758,"ERROR"
"01","Kabul",570353,"1-1432-81",220,220,"Anwar Khan Oryakhel","انور خان اوریاخیل ","انور خان اوریاخیل ",3885,0.0068115710796647,17,"2019-05-15","Results Status : Certified",3045,"ERROR"
"01","Kabul",570353,"1-1224-77",476,477,"Sofi Abdul Razeq Estalefi","صوفی عبدالرزاق استالفی","صوفی عبدالرزاق استالفی",3749,0.0065731222593727,18,"2019-05-15","Results Status : Certified",2951,"ERROR"
"01","Kabul",570353,"1-1066-102",84,84,"Tawfiq Wahdat","توفیق وحدت","توفیق وحدت",3716,0.00651526335444891,19,"2019-05-15","Results Status : Certified",2215,"ERROR"
"01","Kabul",570353,"1-1444-12",474,475,"Haji Zergai Habibi","حاجی زړگی حبیبی","حاجی زړگی حبیبی",3594,0.0063013607362458,20,"2019-05-15","Results Status : Certified",2689,"ERROR"
"01","Kabul",570353,"1-1249-30",534,535,"Mohammad Nayem Wardak","محمد نعیم وردک","محمد نعیم وردک",3520,0.00617161652520457,21,"2019-05-15","Results Status : Certified",2312,"ERROR"
"01","Kabul",570353,"1-1209-19",353,354,"Haji Hafizullah Jalili","حاجی حفیظ الله جلیلی","حاجی حفیظ الله جلیلی",3449,0.00604713221461095,22,"2019-05-15","Results Status : Certified",2098,"ERROR"
"01","Kabul",570353,"1-1176-45",483,484,"Urfanullah Urfan","عرفان الله عرفان","عرفان الله عرفان",3429,0.00601206621162683,23,"2019-05-15","Results Status : Certified",2038,"ERROR"
"01","Kabul",570353,"1-1010-32",129,129,"Obaidullah Kalimzai Wardak"," عبیدالله کلیمزی وردک"," عبیدالله کلیمزی وردک",3418,0.00599277990998557,24,"2019-05-15","Results Status : Certified",2449,"ERROR"
"01","Kabul",570353,"1-1718-135",587,588,"Ajmal Gullab","اجمل گلاب ","اجمل گلاب ",3413,0.00598401340923954,25,"2019-05-15","Results Status : Certified",2274,"ERROR"
"01","Kabul",570353,"1-1430-80",288,288,"Ezatullah Aatef","عزت الله عاطف ","عزت الله عاطف ",3302,0.00578939709267769,26,"2019-05-15","Results Status : Certified",2274,"ERROR"
"01","Kabul",570353,"1-1306-43",638,639,"Zabiullah Almas"," ذبیح الله الماس"," ذبیح الله الماس",3238,0.00567718588312852,27,"2019-05-15","Results Status : Certified",2331,"ERROR"
"01","Kabul",570353,"1-1223-100",199,199,"Haji Mohammad Dawood Kalakani","حاجی محمد داود کلکانی","حاجی محمد داود کلکانی",2999,0.00525814714746832,28,"2019-05-15","Results Status : Certified",2137,"ERROR"
"01","Kabul",570353,"1-1598-62",326,326,"Taj Mohammad Mujahid","تاج محمد مجاهد ","تاج محمد مجاهد ",2978,0.005221327844335,29,"2019-05-15","Results Status : Certified",1957,"ERROR"
"01","Kabul",570353,"1-1524-2026",52,52,"Mohammad Dawood Naji","محمد داود ناجی","محمد داود ناجی",2922,0.00512314303597947,30,"2019-05-15","Results Status : Certified",2152,"ERROR"
"01","Kabul",570353,"1-1299-1040",201,201,"Abdul Samad stanikzai","عبدالصمد ستانکزی","عبدالصمد ستانکزی",2891,0.00506879073135409,31,"2019-05-15","Results Status : Certified",1976,"ERROR"
"01","Kabul",570353,"1-1119-14",466,467,"Abdul Reza Khalili","عبدالرضا خلیلی","عبدالرضا خلیلی",2882,0.00505301103001124,32,"2019-05-15","Results Status : Certified",1697,"ERROR"
"01","Kabul",570353,"1-1329-99",547,548,"Alhaj Mohammad Alem Khalili","الحاج محمد عالم خلیلی","الحاج محمد عالم خلیلی",2879,0.00504775112956362,33,"2019-05-15","Results Status : Certified",1819,"ERROR"
"01","Kabul",570353,"1-1443-91",106,106,"Haji Mohammad Farhad Sediqi","حاجی محمد فرهاد صدیقی","حاجی محمد فرهاد صدیقی",2873,0.00503723132866839,34,"2019-05-15","Results Status : Certified",1692,"ERROR"
