"electorate","province_code","pc_count","ps_count","candidate_count","vote_count"
"General","01",502,2981,803,397637
"General","02",76,323,35,38641
"General","03",153,506,28,86028
"General","04",81,217,39,58784
"General","05",29,156,35,15546
"General","06",371,1639,136,268287
"General","07",68,323,33,44348
"General","08",96,216,12,31128
"General","09",175,657,88,122117
"General","10",219,518,40,125801
"General","12",145,414,33,29154
"General","13",108,408,78,51088
"General","14",181,549,55,79948
"General","15",108,397,31,82638
"General","16",28,97,18,13854
"General","17",267,763,76,158976
"General","18",214,683,73,174862
"General","19",78,313,89,52251
"General","20",91,301,31,76048
"General","21",250,924,82,194129
"General","22",73,282,33,76152
"General","23",142,441,29,111255
"General","24",252,551,41,134695
"General","25",29,121,25,12443
"General","26",42,143,24,12980
"General","27",169,1005,111,157253
"General","28",53,210,30,55744
"General","29",78,280,61,68984
"General","30",95,613,89,75719
"General","31",64,196,31,43967
"General","32",279,1122,159,321519
"General","33",42,151,41,25207
"General","34",50,200,12,30871
"Kuchi","01",103,158,44,34251
"Kuchi","02",23,125,44,4765
"Kuchi","03",23,110,44,562
"Kuchi","04",5,25,44,318
"Kuchi","05",17,109,44,2381
"Kuchi","06",115,742,44,4806
"Kuchi","07",17,131,44,1598
"Kuchi","09",11,62,44,2492
"Kuchi","12",52,184,44,766
"Kuchi","13",16,17,44,875
"Kuchi","14",24,117,44,1203
"Kuchi","15",2,14,44,19
"Kuchi","18",1,3,44,34
"Kuchi","20",1,6,44,8
"Kuchi","21",23,139,44,1241
"Kuchi","22",1,5,44,239
"Kuchi","23",5,25,44,79
"Kuchi","25",2,4,44,178
"Kuchi","26",16,92,44,308
"Kuchi","27",86,673,44,8458
"Kuchi","28",3,12,44,137
"Kuchi","30",22,204,44,249
"Kuchi","31",7,30,44,404
"Kuchi","32",15,92,44,984
"Kuchi","33",10,64,44,45
"Kuchi","34",4,37,44,70
"Sikh / Hindu","01",2,2,1,216
"Sikh / Hindu","06",2,16,1,87
